route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
27-0,HA14H101-04-ROSE,7254631-HA14H101-04-ROSE,"La Herdrie",0,960412,274155
27-0,HA14H101-04-ROSE,7254632-HA14H101-04-ROSE,"La Herdrie",0,960414,274155
27-0,HA14H101-04-ROSE,7254633-HA14H101-04-ROSE,"Pirmil",1,960414,274158
27-0,HA14H101-04-ROSE,7254634-HA14H101-04-ROSE,"Pirmil",1,960412,274158
27-0,HA14H101-04-ROSE,7254635-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254636-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254637-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254638-HA14H101-04-ROSE,"La Herdrie",0,960412,274155
27-0,HA14H101-04-ROSE,7254639-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254640-HA14H101-04-ROSE,"La Herdrie",0,960411,274155
27-0,HA14H101-04-ROSE,7254641-HA14H101-04-ROSE,"Pirmil",1,960411,274158
27-0,HA14H101-04-ROSE,7254642-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254643-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254644-HA14H101-04-ROSE,"Pirmil",1,960411,274158
27-0,HA14H101-04-ROSE,7254645-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254646-HA14H101-04-ROSE,"Pirmil",1,960412,274158
27-0,HA14H101-04-ROSE,7254647-HA14H101-04-ROSE,"Pirmil",1,960414,274158
27-0,HA14H101-04-ROSE,7254648-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254649-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254650-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254651-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254652-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254653-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254654-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254655-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254656-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254657-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254658-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254659-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254660-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254661-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254662-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254663-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254664-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254665-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254666-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254667-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254668-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254669-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254670-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254671-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254672-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254673-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254674-HA14H101-04-ROSE,"Pirmil",1,960409,274158
27-0,HA14H101-04-ROSE,7254675-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254676-HA14H101-04-ROSE,"La Herdrie",0,960413,274155
27-0,HA14H101-04-ROSE,7254677-HA14H101-04-ROSE,"Pirmil",1,960413,274158
27-0,HA14H101-04-ROSE,7254678-HA14H101-04-ROSE,"Pirmil",1,960410,274158
27-0,HA14H101-04-ROSE,7254679-HA14H101-04-ROSE,"La Herdrie",0,960410,274155
27-0,HA14H101-04-ROSE,7254680-HA14H101-04-ROSE,"Pirmil",1,960414,274158
27-0,HA14H101-04-ROSE,7254681-HA14H101-04-ROSE,"La Herdrie",0,960410,274155
27-0,HA14H101-04-ROSE,7254682-HA14H101-04-ROSE,"La Herdrie",0,960409,274155
27-0,HA14H101-04-ROSE,7254683-HA14H101-04-ROSE,"Pirmil",1,960414,274158
